,job title,skills
0,IT Audit Staff Consultant,PCI
1,IT Audit Staff Consultant,Accounting
2,IT Audit Staff Consultant,IT
3,IT Audit Staff Consultant,Information security
4,Cybersecurity Consultant ,SIEM
5,Cybersecurity Consultant ,UNIX
6,Cybersecurity Consultant ,Mac OS
7,Risk Data Security,Vulnerability management
8,Risk Data Security,AWS
9,Risk Data Security,NIST standards
10,IT Specialist,NoSQL
11,IT Specialist,GitHub
12,IT Specialist,Software development
13,Vulnerability Researcher,Assembly
14,Vulnerability Researcher,Scripting
15,Vulnerability Researcher,Mac OS
16,IT Security Analyst,Node.js
17,IT Security Analyst,Presentation skills
18,IT Security Analyst,Software development
19,Risk Analyst,Research
20,Risk Analyst,Negotiation
21,Risk Analyst,Analysis skills
22,Risk Analyst,Underwriting
23,Risk Analyst,Analysis skills
24,IT Security Officer,Research
25,IT Security Officer,Analysis skills
26,Watch Desk Specialist ,SharePoint
27,Watch Desk Specialist ,Remedy
28,Watch Desk Specialist ,Help desk
29,Watch Desk Specialist ,Active Directory
30,Analyst Information Security,Information security
31,Cyber Operations Specialist,
32,Internal Audit Staff ,SQL
33,Internal Audit Staff ,SDLC
34,Internal Audit Staff ,Fraud
35,Cyber Network Defender,Computer networking
36,SOC Analyst ,Firewall
37,SOC Analyst ,Network protocols
38,SOC Analyst ,IDS
39,CyberSecurity  Position,IT support
40,CyberSecurity  Position,Firewall
41,CyberSecurity  Position,Computer networking
42,IT Security Analyst,Software troubleshooting
43,IT Security Analyst,Log analysis
44,IT Security Analyst,IDS
45,IT Security Analyst,Vulnerability management
46,IT Security Analyst,NIST standards
47,IT Security Analyst,ISO 7
48,Risk Analyst,Financial services
49,Risk Analyst,Information security
50,Risk Analyst,Analysis skills
51,Cybersecurity Teaching Assistant   ,
52,IT Security Officer  ,Linux
53,IT Security Officer  ,Network administration
54,IT Security Officer  ,Analysis skills
55,IT Security Officer  ,Windows
56,IT  Client Support,
57,Android Mobile Reverse Engineer,Assembly
58,Android Mobile Reverse Engineer,Kotlin
59,Android Mobile Reverse Engineer,Software development
60,Android Mobile Reverse Engineer,Assembly
61,Android Mobile Reverse Engineer,Research
62,Android Mobile Reverse Engineer,GitHub
63,IT Specialist,Cybersecurity
64,Satellite Operator,Computer networking
65,Satellite Operator,LAN
66,Identity Management Analyst,SharePoint
67,Identity Management Analyst,Remedy
68,Identity Management Analyst,Data collection
69,Cyber Operations Specialist,
